New AIR:BIT Logging started
Time,Lat,Lon,Temp,Humi,PM10,PM25
Time,Lat,Lon,Temp,Humi,PM10,PM25
5.4.2018 11:22:47.0,69.648788,19.003852,9.00,27.60,1.00,0.90
5.4.2018 11:22:50.0,69.648811,19.003875,8.90,27.80,1.00,0.90
5.4.2018 11:22:53.0,69.648849,19.003873,8.90,27.90,1.00,0.90
5.4.2018 11:22:56.0,69.648872,19.003839,8.80,27.70,1.00,0.90
5.4.2018 11:22:59.0,69.648895,19.003818,8.70,27.70,1.00,0.90
5.4.2018 11:23:2.0,69.648925,19.003808,8.70,27.70,1.00,0.90
5.4.2018 11:23:2.0,69.648925,19.003808,8.60,27.70,1.00,0.90
5.4.2018 11:23:14.0,69.649047,19.003763,8.70,28.00,1.00,0.90
5.4.2018 11:23:24.0,69.649093,19.004003,8.80,28.30,1.10,0.90
5.4.2018 11:23:28.0,69.649101,19.004112,8.70,28.40,1.10,0.80
5.4.2018 11:23:38.0,69.649085,19.004411,8.60,28.60,1.10,0.90
5.4.2018 11:23:47.0,69.649085,19.004661,8.90,29.90,1.30,0.90
5.4.2018 11:23:57.0,69.649101,19.004974,9.00,30.70,1.30,0.90
5.4.2018 11:24:6.0,69.649040,19.005914,9.20,31.20,1.40,0.90
5.4.2018 11:24:9.0,69.649040,19.006057,8.70,30.90,1.40,0.90
5.4.2018 11:24:12.0,69.649032,19.006124,8.80,31.00,1.40,0.90
5.4.2018 11:24:15.0,69.649040,19.006153,8.80,31.70,1.40,0.90
5.4.2018 11:24:18.0,69.649040,19.006174,8.90,32.20,1.30,0.90
5.4.2018 11:24:21.0,69.649032,19.006217,9.10,32.50,1.30,0.90
5.4.2018 11:24:24.0,69.649024,19.006237,9.20,33.10,1.30,1.00
5.4.2018 11:24:27.0,69.649024,19.006328,9.20,32.50,1.30,1.00
5.4.2018 11:24:30.0,69.649032,19.006467,9.20,32.10,1.30,1.00
5.4.2018 11:24:33.0,69.649024,19.006591,9.20,32.50,1.30,1.00
5.4.2018 11:24:36.0,69.649017,19.006687,9.30,32.80,1.30,0.90
5.4.2018 11:24:39.0,69.649017,19.006744,9.30,32.80,1.30,0.90
5.4.2018 11:24:42.0,69.649040,19.006797,9.30,32.80,1.20,0.90
5.4.2018 11:24:45.0,69.649093,19.006898,9.40,32.70,1.00,0.90
5.4.2018 11:24:48.0,69.649200,19.007097,9.00,31.90,1.00,0.90
5.4.2018 11:24:51.0,69.649307,19.007236,8.90,31.50,1.00,0.90
5.4.2018 11:24:54.0,69.649368,19.007389,8.80,31.00,1.10,0.90
5.4.2018 11:24:57.0,69.649391,19.007453,8.80,30.70,1.20,0.90
5.4.2018 11:25:0.0,69.649398,19.007463,8.80,30.20,1.20,0.90
5.4.2018 11:25:3.0,69.649406,19.007495,8.70,30.00,1.00,0.90
5.4.2018 11:25:6.0,69.649414,19.007493,8.70,29.90,0.90,0.90
5.4.2018 11:25:9.0,69.649398,19.007553,8.70,29.90,0.90,0.90
